ID,Prediction
1,1
2,0
3,0
4,1
5,1
6,1
7,1
8,0
9,0
10,1
11,0
12,0
13,0
14,1
15,0
16,0
17,0
18,0
19,1
20,1
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,1
29,1
30,0
31,1
32,0
33,0
34,0
35,1
36,1
37,0
38,1
39,1
40,1
41,1
42,0
43,1
44,0
45,0
46,0
47,1
48,0
49,1
50,1
51,0
52,0
53,1
54,1
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,1
63,1
64,0
65,0
66,1
67,1
68,1
69,0
70,0
71,0
72,0
73,0
74,1
75,0
76,1
77,0
78,0
79,1
80,0
81,0
82,1
83,1
84,0
85,0
86,1
87,0
88,0
89,1
90,1
91,0
92,1
93,0
94,1
95,1
96,1
97,0
98,0
99,0
100,1
101,0
102,0
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,0
112,0
113,0
114,1
115,0
116,1
117,0
118,1
119,0
120,0
121,0
122,1
123,1
124,1
125,1
126,0
127,0
128,0
129,0
130,0
131,0
132,1
133,0
134,1
135,1
136,1
137,0
138,0
139,0
140,0
141,1
142,0
143,0
144,0
145,0
146,0
147,0
148,1
149,0
150,1
151,0
152,1
153,1
154,0
155,0
156,1
157,0
158,0
159,0
160,0
161,1
162,1
163,0
164,1
165,0
166,0
167,0
168,0
169,0
170,1
171,1
172,0
173,0
174,0
175,0
176,1
177,1
178,1
179,0
180,0
181,1
182,0
183,1
184,0
185,0
186,0
187,0
188,0
189,0
190,1
191,0
192,0
193,1
194,1
195,0
196,0
197,0
198,0
199,1
200,0
201,1
202,1
203,0
204,0
205,1
206,1
207,0
208,0
209,1
210,1
211,1
212,0
213,0
214,1
215,0
216,1
217,0
218,0
219,1
220,1
221,1
222,0
223,1
224,1
225,1
226,0
227,1
228,0
229,0
230,0
231,1
232,1
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,1
242,0
243,0
244,0
245,1
246,1
247,0
248,1
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,1
259,0
260,0
261,0
262,0
263,0
264,0
265,1
266,0
267,0
268,0
269,1
270,0
271,1
272,1
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,1
282,1
283,0
284,0
285,0
286,1
287,1
288,0
289,0
290,1
291,1
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,1
301,1
302,0
303,1
304,0
305,1
306,0
307,1
308,1
309,0
310,1
311,0
312,1
313,1
314,1
315,0
316,1
317,0
318,1
319,0
320,1
321,0
322,1
323,1
324,0
325,0
326,0
327,0
328,0
329,1
330,1
331,1
332,1
333,1
334,0
335,0
336,0
337,1
338,1
339,0
340,1
341,1
342,0
343,0
344,0
345,0
346,1
347,0
348,1
349,1
350,1
351,0
352,1
353,1
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,1
364,0
365,0
366,1
367,1
368,0
369,0
370,1
371,0
372,0
373,0
374,1
375,1
376,1
377,1
378,1
379,0
380,0
381,1
382,1
383,1
384,0
385,0
386,0
387,1
388,0
389,0
390,0
391,0
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,0
401,1
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,1
411,0
412,0
413,1
414,1
415,0
416,0
417,0
418,1
419,0
420,1
421,0
422,0
423,0
424,1
425,1
426,0
427,0
428,0
429,1
430,1
431,1
432,1
433,0
434,0
435,0
436,0
437,0
438,0
439,1
440,0
441,1
442,0
443,0
444,1
445,1
446,0
447,0
448,0
449,1
450,1
451,1
452,0
453,0
454,0
455,0
456,1
457,0
458,1
459,0
460,0
461,0
462,1
463,1
464,0
465,0
466,0
467,1
468,0
469,0
470,0
471,1
472,0
473,0
474,1
475,1
476,0
477,0
478,0
479,1
480,0
481,1
482,1
483,0
484,1
485,0
486,1
487,1
488,0
489,0
490,1
491,0
492,0
493,0
494,1
495,0
496,0
497,1
498,0
499,1
500,1
501,1
502,1
503,1
504,0
505,0
506,1
507,0
508,0
509,0
510,0
511,1
512,0
513,0
514,0
515,1
516,1
517,1
518,0
519,1
520,0
521,0
522,0
523,1
524,0
525,1
526,0
527,0
528,0
529,0
530,1
531,0
532,1
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,1
541,0
542,1
543,0
544,0
545,0
546,0
547,1
548,1
549,0
550,1
551,1
552,0
553,1
554,0
555,1
556,0
557,0
558,1
559,0
560,1
561,1
562,1
563,1
564,1
565,1
566,0
567,1
568,0
569,0
570,0
571,1
572,1
573,0
574,1
575,0
576,1
577,0
578,1
579,1
580,0
581,1
582,0
583,1
584,1
585,1
586,1
587,0
588,1
589,0
590,0
591,0
592,0
593,1
594,1
595,0
596,1
597,0
598,0
599,0
600,0
601,1
602,0
603,0
604,1
605,0
606,1
607,0
608,0
609,0
610,1
611,0
612,0
613,0
614,1
615,1
616,1
617,0
618,1
619,0
620,0
621,1
622,0
623,0
624,1
625,0
626,1
627,0
628,1
629,0
630,1
631,0
632,0
633,0
634,0
635,1
636,1
637,0
638,0
639,1
640,1
641,0
642,0
643,1
644,0
645,1
646,0
647,1
648,0
649,1
650,0
651,0
652,0
653,1
654,1
655,0
656,1
657,1
658,0
659,0
660,1
661,1
662,1
663,0
664,1
665,1
666,1
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,1
675,0
676,0
677,0
678,0
679,0
680,1
681,1
682,1
683,0
684,0
685,1
686,0
687,1
688,1
689,0
690,0
691,1
692,0
693,1
694,0
695,1
696,1
697,0
698,1
699,0
700,0
701,1
702,0
703,0
704,0
705,0
706,1
707,1
708,1
709,0
710,1
711,0
712,1
713,0
714,1
715,0
716,1
717,1
718,0
719,1
720,1
721,0
722,1
723,0
724,0
725,1
726,1
727,1
728,1
729,1
730,0
731,0
732,0
733,0
734,0
735,1
736,1
737,0
738,0
739,1
740,1
741,1
742,1
743,0
744,1
745,0
746,0
747,0
748,0
749,0
750,1
751,0
752,0
753,0
754,0
755,1
756,1
757,0
758,1
759,1
760,0
761,1
762,1
763,0
764,0
765,0
766,1
767,1
768,0
769,1
770,1
771,1
772,1
773,1
774,0
775,1
776,1
777,0
778,0
779,0
780,0
781,0
782,1
783,0
784,1
785,1
786,1
787,1
788,0
789,1
790,1
791,0
792,0
793,1
794,0
795,1
796,1
797,1
798,0
799,0
800,1
801,1
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,1
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,1
822,0
823,0
824,1
825,1
826,0
827,0
828,0
829,1
830,0
831,0
832,0
833,1
834,0
835,0
836,0
837,0
838,1
839,1
840,0
841,0
842,1
843,1
