ID,Prediction
1,0
2,0
3,1
4,1
5,1
6,0
7,1
8,1
9,0
10,0
11,0
12,1
13,0
14,0
15,0
16,0
17,1
18,0
19,1
20,1
21,1
22,1
23,1
24,0
25,0
26,0
27,0
28,1
29,0
30,1
31,1
32,1
33,0
34,0
35,1
36,1
37,1
38,0
39,1
40,1
41,1
42,0
43,1
44,0
45,0
46,0
47,1
48,1
49,1
50,1
51,1
52,0
53,1
54,1
55,1
56,0
57,0
58,0
59,0
60,1
61,0
62,1
63,1
64,0
65,0
66,1
67,1
68,1
69,0
70,0
71,0
72,1
73,0
74,1
75,1
76,0
77,0
78,0
79,1
80,0
81,1
82,1
83,0
84,0
85,0
86,1
87,0
88,0
89,0
90,1
91,1
92,1
93,0
94,0
95,1
96,1
97,0
98,0
99,1
100,1
101,1
102,0
103,1
104,1
105,1
106,1
107,1
108,0
109,0
110,1
111,0
112,1
113,0
114,1
115,0
116,1
117,1
118,0
119,0
120,1
121,0
122,0
123,1
124,1
125,1
126,1
127,0
128,0
129,0
130,0
131,1
132,1
133,0
134,1
135,1
136,1
137,1
138,1
139,0
140,0
141,1
142,0
143,0
144,0
145,1
146,1
147,0
148,1
149,0
150,0
151,1
152,1
153,1
154,1
155,0
156,1
157,0
158,0
159,1
160,1
161,1
162,1
163,0
164,1
165,1
166,0
167,1
168,1
169,0
170,1
171,1
172,0
173,1
174,0
175,0
176,0
177,1
178,1
179,0
180,0
181,1
182,0
183,1
184,0
185,0
186,0
187,0
188,1
189,1
190,1
191,1
192,0
193,1
194,1
195,0
196,1
197,0
198,1
199,1
200,0
201,1
202,1
203,0
204,0
205,1
206,0
207,1
208,0
209,1
210,1
211,0
212,0
213,1
214,1
215,1
216,1
217,0
218,0
219,1
220,1
221,0
222,1
223,1
224,1
225,1
226,0
227,1
228,0
229,1
230,0
231,1
232,1
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,1
241,1
242,0
243,0
244,0
245,1
246,1
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,1
256,0
257,0
258,1
259,0
260,0
261,0
262,0
263,1
264,0
265,1
266,0
267,1
268,0
269,1
270,0
271,1
272,0
273,1
274,0
275,0
276,0
277,0
278,0
279,0
